"Status","Life.expectancy","Total.expenditure","Population.And.Infant.Mortality","Chronic.Dieseases","Thinness","Personal.Factors","Economic.Factors","Adult.Factors"
2,65,8.16,-0.38111977830862,-1.73386684898753,2.95318644047521,0.355689277668597,-0.061601052078655,0.136892883614659
2,59.9,8.18,-0.336581949762719,-1.03800890241714,3.03818250606343,0.264541369077534,-0.0504066384091806,0.185217572002292
2,59.9,8.13,-0.320216755560036,-0.884612822884782,3.08425537031857,0.211870405859931,-0.0397853533993039,0.185661288434698
2,59.5,8.52,-0.282753031963924,-0.648301795554633,3.13311673459357,0.139925534605295,-0.0206964503003077,0.237473675549282
2,59.2,7.87,-0.278716632681093,-0.569348174492926,3.1759791599515,0.0410432395585493,-0.0379108771580826,0.240413677166408
2,58.8,9.2,-0.270848513241655,-0.666474031814811,3.17875646916118,0.00928611722771489,0.0137786543215496,0.284764097393595
2,58.6,9.42,-0.26801615276564,-0.82423509407694,3.21419679047131,-0.0289637931942058,0.0206430232969697,0.27312433786025
2,58.1,8.33,-0.249904201782287,-0.754714026893723,3.25982289538729,-0.100649371899866,0.0272665907937119,0.274384079785541
2,57.5,6.73,-0.255574568041849,-0.806328027265206,3.30511348058908,-0.195612374224826,0.0477870774251021,0.257434251326568
2,57.3,7.43,-0.258392438685491,-1.03910582023331,3.31593623318213,-0.219893881457313,0.0595385594002481,0.244006046145239
2,57.3,8.7,-0.252135744220568,-1.00785920245024,3.32049032275728,-0.258965718103462,0.054807436398206,0.265393421704299
2,57,8.79,-0.435456571726613,-3.80421228938589,3.2600597828682,0.0527294865671559,0.0575724694130254,-0.10088475381419
2,56.7,8.82,-0.327773293153783,-1.86233426418495,3.32119850776939,-0.450087998247705,0.121149411887399,0.143321614132906
2,56.2,7.76,-0.283859672633383,-2.12351358272814,3.06801843444688,-0.609184324937126,0.123751741315624,0.0230417384519479
2,55.3,7.8,-0.282384295295652,-2.2612403094435,2.89380296988762,-0.660744017643424,0.124926919681848,0.147012737347671
2,54.8,8.2,-0.319982353500842,-2.76210286746972,2.86347526708065,-0.654475474600772,0.133891893649948,0.110154663511394
2,77.8,6,-0.0775512263709115,0.591647919199735,-0.655613384446349,0.363624270091257,-0.41315837919345,-0.565431816640496
2,77.5,5.88,-0.0732443186000547,0.506906074637935,-0.611113549567097,0.32626648793048,-0.382101259000608,-0.884646986570447
2,77.2,5.66,-0.0797639664930109,0.596184883855921,-0.63068903192869,0.355920235033707,-0.369657010132047,-0.512297950117662
2,76.9,5.59,-0.0751563759318855,0.60033926663978,-0.638597851120842,0.355376808633608,-0.37889674720514,-0.487524338917225
2,76.6,5.71,-0.0832993486737192,0.640737459815565,-0.668820624892451,0.0954231045169978,-0.318209751334982,-0.493707271004867
2,76.2,5.34,-0.0719410855737633,0.68270795660954,-0.73449510447593,-0.112383984542908,-0.532751049708728,-0.523529525931372
2,76.1,5.79,-0.079402158075811,0.633440592540043,-0.716131351286749,-0.202309430361006,-0.301578244085252,-0.511187391517268
2,75.3,5.87,-0.0614835600358391,0.681975746610362,-0.68711284530512,-0.298797225183386,-0.522796989290859,-0.928983116115269
